WL(nm),PDE(%)
350,46.4421
360,36.8392
370,44.913
380,54.9141
390,45.4995
400,57.8869
410,56.6598
420,48.5345
430,57.4212
440,57.675
450,47.28
460,42.1857
470,47.7681
480,51.4295
490,42.6614
500,39.0612
510,38.9083
520,44.0503
530,43.3959
540,37.3702
550,31.2175
560,30.5746
570,31.0091
580,32.4764
590,32.6681
600,29.041
610,25.1468
620,21.6446
630,21.1779
640,20.6285
650,19.7396
660,19.4831
670,19.8413
680,15.5986
690,14.3121
700,13.7883
710,12.1149
720,10.5689
730,11.529
740,11.977
750,11.7807
760,10.6993
770,9.92827
780,8.79741
790,7.40851
800,6.48783
810,5.69412
820,4.84989
